Origin,Destination,Operator,Bus Type,Departure Time,Arrival Time,Price,Date,Date Type
Chennai,Kumbakonam,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),22:15,04:30,647.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,Divya Transport,A/C Sleeper (2+1),22:40,04:55,3599.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06:05,619.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,Tranzking Travels,A/C Seater / Sleeper (2+1),22:45,05:00,545.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,DELTAKING TRAVELS,A/C Seater / Sleeper (2+1),21:35,04:30,797.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,VINOTH TRAVELS,VE A/C Seater / Sleeper (2+1),21:50,04:00,600.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,PRM Roadways,A/C Seater / Sleeper (2+1),11:05,19:05,1115.0,17-Jun-2026,Weekday
Chennai,Karur,SRBT Travels,A/C Sleeper (2+1),21:00,05:40,850.0,17-Jun-2026,Weekday
Chennai,Karur,BAHAVAN ROADWAYS,A/C Sleeper (2+1),21:10,05:30,850.0,17-Jun-2026,Weekday
Chennai,Karur,Royal Roadlinks,A/C Sleeper (2+1),21:55,06:20,849.0,17-Jun-2026,Weekday
Chennai,Karur,Vinayaga Selvam Travels (KVST),A/C Sleeper (2+1),21:05,05:00,1397.0,17-Jun-2026,Weekday
Chennai,Karur,Royal Roadlinks,A/C Sleeper (2+1),20:45,05:30,799.0,17-Jun-2026,Weekday
Chennai,Karur,Vinayaga Selvam Travels (KVST),A/C Sleeper (2+1),20:30,04:35,1397.0,17-Jun-2026,Weekday
Chennai,Karur,JB Connect,Bharat Benz A/C Sleeper (2+1),21:30,06:23,765.0,17-Jun-2026,Weekday
Chennai,Karur,Vinayaga Selvam Travels (KVST),A/C Sleeper (2+1),20:00,04:25,1397.0,17-Jun-2026,Weekday
Chennai,Karur,HI-TECH ROADLINKS,A/C Sleeper (2+1),21:35,05:15,1500.0,17-Jun-2026,Weekday
Chennai,Karur,SK Balu Bus,A/C Seater / Sleeper (2+1),22:45,07:10,651.0,17-Jun-2026,Weekday
Chennai,Dindigul,ACLS Navigator,A/C Sleeper (2+1),21:20,05:20,2099.0,17-Jun-2026,Weekday
Chennai,Dindigul,ACLS Navigator,A/C Sleeper (2+1),20:35,04:20,2099.0,17-Jun-2026,Weekday
Chennai,Dindigul,Suhara Travels (SRK),A/C Sleeper (2+1),20:55,05:25,1599.0,17-Jun-2026,Weekday
Chennai,Dindigul,Friends Motors,VE A/C Sleeper (2+1),21:00,05:25,854.0,17-Jun-2026,Weekday
Chennai,Dindigul,Alagan Roadlinks,A/C Seater / Sleeper (2+1),21:15,05:10,799.0,17-Jun-2026,Weekday
Chennai,Dindigul,CMB Travels,NON A/C Sleeper (2+1),19:50,04:50,1000.0,17-Jun-2026,Weekday
Chennai,Dindigul,ACLS Navigator,Bharat Benz A/C Sleeper (2+1),22:10,05:55,2099.0,17-Jun-2026,Weekday
Chennai,Dindigul,APS Travels,Non A/C Seater / Sleeper (2+1),20:15,05:15,550.0,17-Jun-2026,Weekday
Chennai,Dindigul,Mr.Holidays,A/C Seater / Sleeper (2+1),20:45,05:15,683.0,17-Jun-2026,Weekday
Chennai,Dindigul,APS Travels,A/C Sleeper (2+1),20:25,05:15,750.0,17-Jun-2026,Weekday
Chennai,Ooty,PRM Roadways,A/C Sleeper (2+1),20:45,08:00,1695.0,17-Jun-2026,Weekday
Chennai,Ooty,National Travels CHN,A/C Sleeper (2+1),21:05,08:00,1899.0,17-Jun-2026,Weekday
Chennai,Ooty,YBM Travels(BLM),A/C Sleeper (2+1),21:00,07:30,1270.0,17-Jun-2026,Weekday
Chennai,Ooty,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),19:45,07:30,1078.0,17-Jun-2026,Weekday
Chennai,Ooty,SBM TRAANSPORT,A/C Sleeper (2+1),21:30,08:55,1499.0,17-Jun-2026,Weekday
Chennai,Ooty,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),21:15,08:15,928.0,17-Jun-2026,Weekday
Chennai,Ooty,VEE VEE BUS,A/C Sleeper (2+1),20:25,08:35,1049.0,17-Jun-2026,Weekday
Chennai,Ooty,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),20:00,07:20,764.0,17-Jun-2026,Weekday
Chennai,Ooty,Jayavin Travels,A/C Sleeper (2+1),21:10,08:30,1032.0,17-Jun-2026,Weekday
Chennai,Ooty,zingbus plus,Bharat Benz A/C Seater /Sleeper (2+1),23:25,10:45,1646.0,17-Jun-2026,Weekday
Chennai,Kanyakumari,SBM TRAANSPORT,A/C Sleeper (2+1),19:00,07:00,1699.0,17-Jun-2026,Weekday
Chennai,Kanyakumari,zingbus plus,A/C Sleeper (2+1),20:10,08:15,3036.0,17-Jun-2026,Weekday
Chennai,Kanyakumari,FlixBus,A/C Sleeper (2+1),19:35,09:55,970.48,17-Jun-2026,Weekday
Chennai,Kanyakumari,YKT Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,07:16,2299.0,17-Jun-2026,Weekday
Chennai,Kanyakumari,Vetri Travels,A/C Sleeper (2+1),22:00,10:40,1205.0,17-Jun-2026,Weekday
Chennai,Kanyakumari,zingbus Maxx,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),21:05,09:15,2978.0,17-Jun-2026,Weekday
Chennai,Rameswaram,SBM TRAANSPORT,A/C Sleeper (2+1),21:00,07:35,1599.0,17-Jun-2026,Weekday
Chennai,Rameswaram,LION Travels,A/C Seater / Sleeper (2+1),20:05,06:40,1299.0,17-Jun-2026,Weekday
Chennai,Rameswaram,MRM Travels,A/C Seater / Sleeper (2+1),19:50,06:55,1235.0,17-Jun-2026,Weekday
Chennai,Rameswaram,RGP Travels,A/C Sleeper (2+1),19:25,06:15,3000.0,17-Jun-2026,Weekday
Chennai,Rameswaram,FlixBus,A/C Sleeper (2+1),20:50,08:05,1502.86,17-Jun-2026,Weekday
Chennai,Rameswaram,RGP Travels,A/C Seater / Sleeper (2+1),19:35,07:45,3000.0,17-Jun-2026,Weekday
Chennai,Rameswaram,Rathimeena Travels C,A/C Sleeper (2+1),20:05,07:05,905.0,17-Jun-2026,Weekday
Chennai,Rameswaram,Universal Bus( UTS),NON AC Seater / Sleeper 2+1,21:00,09:15,720.0,17-Jun-2026,Weekday
Chennai,Rameswaram,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),20:10,07:15,720.0,17-Jun-2026,Weekday
Chennai,Rameswaram,National Travels CHN,A/C Seater / Sleeper (2+1),20:05,07:15,800.0,17-Jun-2026,Weekday
Chennai,Cuddalore,R.S.MANI KNIGHT RIDERS,Bharat Benz A/C Sleeper (2+1),20:00,00:50,699.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),23:45,04:00,450.0,17-Jun-2026,Weekday
Chennai,Cuddalore,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:45,02:10,639.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels A,VE A/C Seater / Sleeper (2+1),21:30,02:00,572.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels B,A/C Sleeper (2+1),23:00,02:45,609.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),17:00,20:40,450.0,17-Jun-2026,Weekday
Chennai,Cuddalore,RKK Travels,Volvo A/C Semi Sleeper (2+2),15:30,20:25,345.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),06:00,10:00,450.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels A,Volvo Multi-Axle A/C Semi Sleeper (2+2),14:30,19:30,610.0,17-Jun-2026,Weekday
Chennai,Cuddalore,Rathimeena Travels B,A/C Sleeper (2+1),15:00,20:00,609.0,17-Jun-2026,Weekday
Chennai,Pudukottai,VKV Travels,A/C Sleeper (2+1),19:25,04:15,1359.0,17-Jun-2026,Weekday
Chennai,Pudukottai,KCMS Travels,Bharat Benz A/C Sleeper (2+1),20:15,04:30,800.0,17-Jun-2026,Weekday
Chennai,Pudukottai,KCMS Travels,A/C Sleeper (2+1),19:40,04:15,850.0,17-Jun-2026,Weekday
Chennai,Pudukottai,SAHAANA EXPRESS,A/C Sleeper (2+1),21:20,04:00,1999.0,17-Jun-2026,Weekday
Chennai,Pudukottai,VKV Travels,A/C Sleeper (2+1),20:20,04:30,1701.0,17-Jun-2026,Weekday
Chennai,Pudukottai,PRM Roadways,A/C Seater / Sleeper (2+1),20:30,04:15,1190.0,17-Jun-2026,Weekday
Chennai,Pudukottai,VAIRAM TRAVELS,A/C Sleeper (2+1),22:45,06:10,918.0,17-Jun-2026,Weekday
Chennai,Pudukottai,Essaar,A/C Sleeper (2+1),20:50,05:15,1043.0,17-Jun-2026,Weekday
Chennai,Pudukottai,Ramu   travels,A/C Sleeper (2+1),21:15,05:10,650.0,17-Jun-2026,Weekday
Chennai,Pudukottai,National Travels CHN,Non A/C Seater / Sleeper (2+1),20:45,04:30,1399.0,17-Jun-2026,Weekday
Chennai,Karaikudi,VKV Travels,A/C Sleeper (2+1),19:25,05:25,1216.0,17-Jun-2026,Weekday
Chennai,Karaikudi,Essaar,A/C Sleeper (2+1),20:50,06:15,1043.0,17-Jun-2026,Weekday
Chennai,Karaikudi,PRM Roadways,A/C Seater / Sleeper (2+1),20:30,04:50,1220.0,17-Jun-2026,Weekday
Chennai,Karaikudi,SAHAANA EXPRESS,A/C Sleeper (2+1),21:20,05:00,1999.0,17-Jun-2026,Weekday
Chennai,Karaikudi,MRM Travels,A/C Seater / Sleeper (2+1),19:50,04:00,1235.0,17-Jun-2026,Weekday
Chennai,Karaikudi,Sree KKR Tours & Travels,A/C Sleeper (2+1),20:10,05:45,780.0,17-Jun-2026,Weekday
Chennai,Karaikudi,YBM Travels(BLM),A/C Sleeper (2+1),21:15,04:30,990.0,17-Jun-2026,Weekday
Chennai,Karaikudi,National Travels CHN,Non A/C Seater / Sleeper (2+1),20:45,05:10,1399.0,17-Jun-2026,Weekday
